Liga,Saison,Team,Marktwert,Platzierung,Punkte
Premier-league,2015,Manchester City,499350000,4 ,66
Premier-league,2015,FC Arsenal,457850000,2 ,71
Premier-league,2015,Manchester United,439850000,5 ,66
Premier-league,2015,FC Liverpool,375250000,8 ,60
Premier-league,2015,Tottenham Hotspur,371850000,3 ,70
Premier-league,2015,FC Everton,249850000,11 ,47
Premier-league,2015,FC Southampton,225500000,6 ,63
Premier-league,2015,West Ham United,201330000,7 ,62
Premier-league,2015,Newcastle United,198000000,18 ,37
Premier-league,2015,Leicester City,161100000,1 ,81
Premier-league,2015,Stoke City,147000000,9 ,51
Premier-league,2015,Swansea City,145800000,12 ,47
Premier-league,2015,FC Watford,137000000,13 ,45
Premier-league,2015,Crystal Palace,135700000,15 ,42
Premier-league,2015,Aston Villa,117950000,20 ,17
Premier-league,2015,Norwich City,116900000,19 ,34
Premier-league,2015,West Bromwich Albion,113100000,14 ,43
Premier-league,2015,AFC Sunderland,111250000,17 ,39
Premier-league,2015,AFC Bournemouth,99900000,16 ,42
Premier-league,2016,FC Chelsea,686700000,1 ,93
Premier-league,2016,Manchester City,576500000,3 ,78
Premier-league,2016,Tottenham Hotspur,543650000,2 ,86
Premier-league,2016,FC Arsenal,542000000,5 ,75
Premier-league,2016,Manchester United,531450000,6 ,69
Premier-league,2016,FC Liverpool,425650000,4 ,76
Premier-league,2016,FC Everton,311250000,7 ,61
Premier-league,2016,West Ham United,273050000,11 ,45
Premier-league,2016,FC Southampton,263750000,8 ,46
Premier-league,2016,Crystal Palace,228430000,14 ,41
Premier-league,2016,Leicester City,218650000,12 ,44
Premier-league,2016,Stoke City,186000000,13 ,44
Premier-league,2016,FC Watford,175650000,17 ,40
Premier-league,2016,Swansea City,157100000,15 ,41
Premier-league,2016,Hull City,135850000,18 ,34
Premier-league,2016,AFC Sunderland,132000000,20 ,24
Premier-league,2016,AFC Bournemouth,131600000,9 ,46
Premier-league,2016,FC Middlesbrough,128800000,19 ,28
Premier-league,2016,West Bromwich Albion,123200000,10 ,45
Premier-league,2016,FC Burnley,107180000,16 ,40
Premier-league,2017,Manchester City,101 Mrd. €,1 ,100
Premier-league,2017,FC Chelsea,884250000,5 ,70
Premier-league,2017,FC Liverpool,857500000,4 ,75
Premier-league,2017,Manchester United,849500000,2 ,81
Premier-league,2017,Tottenham Hotspur,829600000,3 ,77
Premier-league,2017,FC Arsenal,694000000,6 ,63
Premier-league,2017,FC Everton,381250000,8 ,49
Premier-league,2017,Leicester City,304250000,9 ,47
Premier-league,2017,FC Southampton,297000000,17 ,36
Premier-league,2017,West Ham United,260600000,13 ,42
Premier-league,2017,Crystal Palace,220730000,11 ,44
Premier-league,2017,Newcastle United,208280000,10 ,44
Premier-league,2017,FC Watford,196000000,14 ,41
Premier-league,2017,Stoke City,192450000,19 ,33
Premier-league,2017,FC Burnley,169300000,7 ,54
Premier-league,2017,West Bromwich Albion,165950000,20 ,31
Premier-league,2017,Swansea City,165490000,18 ,33
Premier-league,2017,Brighton & Hove Albion,148200000,15 ,40
Premier-league,2017,AFC Bournemouth,144500000,12 ,44
Premier-league,2017,Huddersfield Town,106050000,16 ,37
Premier-league,2018,Manchester City,120 Mrd. €,1 ,98
Premier-league,2018,FC Liverpool,117 Mrd. €,2 ,97
Premier-league,2018,FC Chelsea,117 Mrd. €,3 ,72
Premier-league,2018,Tottenham Hotspur,898600000,4 ,71
