Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2019,RasenBallsport Leipzig,570480000,3 ,66
Bundesliga,2019,Bayer 04 Leverkusen,398950000,5 ,63
Bundesliga,2019,Borussia Mönchengladbach,254700000,4 ,65
Bundesliga,2019,TSG 1899 Hoffenheim,226050000,6 ,52
Bundesliga,2019,FC Schalke 04,221580000,12 ,39
Bundesliga,2019,Hertha BSC,217200000,10 ,41
Bundesliga,2019,Eintracht Frankfurt,208980000,9 ,45
Bundesliga,2019,VfL Wolfsburg,207600000,7 ,49
Bundesliga,2019,SV Werder Bremen,135130000,16 ,31
Bundesliga,2019,SC Freiburg,122650000,8 ,48
Bundesliga,2019,1.FSV Mainz 05,121580000,13 ,37
Bundesliga,2019,FC Augsburg,112950000,15 ,36
Bundesliga,2019,1.FC Köln,98480000,14 ,36
Bundesliga,2019,Fortuna Düsseldorf,71780000,17 ,30
Bundesliga,2019,1.FC Union Berlin,41200000,11 ,41
Bundesliga,2019,SC Paderborn 07,28900000,18 ,20
Bundesliga,2020,FC Bayern München,858230000,1 ,78
Bundesliga,2020,Borussia Dortmund,628400000,3 ,64
Bundesliga,2020,RasenBallsport Leipzig,574950000,2 ,65
Bundesliga,2020,Bayer 04 Leverkusen,373250000,6 ,52
Bundesliga,2020,Borussia Mönchengladbach,300750000,8 ,49
Bundesliga,2020,Eintracht Frankfurt,269150000,5 ,60
Bundesliga,2020,VfL Wolfsburg,256830000,4 ,61
Bundesliga,2020,Hertha BSC,228880000,14 ,35
Bundesliga,2020,TSG 1899 Hoffenheim,228150000,11 ,43
Bundesliga,2020,VfB Stuttgart,189250000,9 ,45
Bundesliga,2020,1.FSV Mainz 05,163300000,12 ,39
Bundesliga,2020,SC Freiburg,139100000,10 ,45
Bundesliga,2020,FC Schalke 04,123050000,18 ,16
Bundesliga,2020,1.FC Köln,118200000,16 ,33
Bundesliga,2020,SV Werder Bremen,111980000,17 ,31
Bundesliga,2020,FC Augsburg,93050000,13 ,36
Bundesliga,2020,1.FC Union Berlin,82050000,7 ,50
Bundesliga,2020,Arminia Bielefeld,56730000,15 ,35
